sex.x,SampYear.x,lbin.x,n.x,sex.y,SampYear.y,lbin.y,n.y,ncomp,HSs
1,14,1,16,1,10,2,16,256,0
1,14,2,12,1,10,2,16,192,0
1,14,3,24,1,10,2,16,384,0
1,14,4,21,1,10,2,16,336,0
1,14,5,19,1,10,2,16,304,0
1,14,6,10,1,10,2,16,160,0
1,14,7,5,1,10,2,16,80,0
1,14,8,7,1,10,2,16,112,0
1,14,9,9,1,10,2,16,144,0
1,14,10,12,1,10,2,16,192,0
1,14,11,7,1,10,2,16,112,0
1,14,12,9,1,10,2,16,144,0
1,14,13,9,1,10,2,16,144,0
1,14,14,4,1,10,2,16,64,0
1,14,15,4,1,10,2,16,64,0
1,14,16,0,1,10,2,16,0,0
1,14,17,0,1,10,2,16,0,0
1,14,18,0,1,10,2,16,0,0
1,14,19,0,1,10,2,16,0,0
1,14,20,0,1,10,2,16,0,0
1,14,21,0,1,10,2,16,0,0
1,14,22,0,1,10,2,16,0,0
1,15,1,9,1,10,2,16,144,0
1,15,2,16,1,10,2,16,256,0
1,15,3,25,1,10,2,16,400,0
1,15,4,22,1,10,2,16,352,1
1,15,5,13,1,10,2,16,208,0
1,15,6,14,1,10,2,16,224,0
1,15,7,8,1,10,2,16,128,0
1,15,8,6,1,10,2,16,96,0
1,15,9,12,1,10,2,16,192,0
1,15,10,20,1,10,2,16,320,0
1,15,11,11,1,10,2,16,176,0
1,15,12,9,1,10,2,16,144,0
1,15,13,9,1,10,2,16,144,0
1,15,14,1,1,10,2,16,16,0
1,15,15,3,1,10,2,16,48,0
1,15,16,1,1,10,2,16,16,0
1,15,17,1,1,10,2,16,16,0
1,15,18,0,1,10,2,16,0,0
1,15,19,0,1,10,2,16,0,0
1,15,20,0,1,10,2,16,0,0
1,15,21,0,1,10,2,16,0,0
1,15,22,0,1,10,2,16,0,0
2,10,1,15,1,10,2,16,240,0
2,10,2,11,1,10,2,16,176,0
2,10,3,18,1,10,2,16,288,0
2,10,4,18,1,10,2,16,288,0
2,10,5,21,1,10,2,16,336,0
2,10,6,14,1,10,2,16,224,0
2,10,7,2,1,10,2,16,32,0
2,10,8,6,1,10,2,16,96,0
2,10,9,8,1,10,2,16,128,0
2,10,10,7,1,10,2,16,112,0
2,10,11,11,1,10,2,16,176,0
2,10,12,14,1,10,2,16,224,0
2,10,13,6,1,10,2,16,96,0
2,10,14,10,1,10,2,16,160,0
2,10,15,2,1,10,2,16,32,0
2,10,16,4,1,10,2,16,64,0
2,10,17,4,1,10,2,16,64,0
2,10,18,5,1,10,2,16,80,0
2,10,19,1,1,10,2,16,16,0
2,10,20,2,1,10,2,16,32,0
2,10,21,2,1,10,2,16,32,0
2,10,22,1,1,10,2,16,16,0
2,11,1,15,1,10,2,16,240,0
2,11,2,14,1,10,2,16,224,0
2,11,3,20,1,10,2,16,320,0
2,11,4,23,1,10,2,16,368,0
2,11,5,23,1,10,2,16,368,0
2,11,6,9,1,10,2,16,144,0
2,11,7,7,1,10,2,16,112,0
2,11,8,6,1,10,2,16,96,0
2,11,9,10,1,10,2,16,160,0
2,11,10,9,1,10,2,16,144,0
2,11,11,6,1,10,2,16,96,0
2,11,12,12,1,10,2,16,192,0
2,11,13,11,1,10,2,16,176,0
2,11,14,7,1,10,2,16,112,0
2,11,15,10,1,10,2,16,160,0
2,11,16,8,1,10,2,16,128,0
2,11,17,5,1,10,2,16,80,0
2,11,18,2,1,10,2,16,32,0
2,11,19,6,1,10,2,16,96,0
2,11,20,0,1,10,2,16,0,0
2,11,21,0,1,10,2,16,0,0
2,11,22,1,1,10,2,16,16,0
2,12,1,15,1,10,2,16,240,0
2,12,2,16,1,10,2,16,256,0
2,12,3,21,1,10,2,16,336,0
2,12,4,12,1,10,2,16,192,0
2,12,5,21,1,10,2,16,336,0
2,12,6,13,1,10,2,16,208,0
2,12,7,5,1,10,2,16,80,0
2,12,8,4,1,10,2,16,64,0
2,12,9,12,1,10,2,16,192,1
2,12,10,12,1,10,2,16,192,0
2,12,11,7,1,10,2,16,112,0
2,12,12,10,1,10,2,16,160,0
2,12,13,5,1,10,2,16,80,0
2,12,14,3,1,10,2,16,48,0
