sex.x,SampYear.x,lbin.x,n.x,sex.y,SampYear.y,lbin.y,n.y,ncomp,POP
2,15,2,20,2,10,1,15,300,0
1,10,3,19,2,10,1,15,285,0
2,10,3,19,2,10,1,15,285,0
1,11,3,21,2,10,1,15,315,0
2,11,3,22,2,10,1,15,330,0
1,12,3,13,2,10,1,15,195,0
2,12,3,14,2,10,1,15,210,0
1,13,3,27,2,10,1,15,405,0
2,13,3,23,2,10,1,15,345,0
1,14,3,19,2,10,1,15,285,0
2,14,3,22,2,10,1,15,330,0
1,15,3,24,2,10,1,15,360,0
2,15,3,16,2,10,1,15,240,0
1,10,4,18,2,10,1,15,270,0
2,10,4,20,2,10,1,15,300,0
1,11,4,20,2,10,1,15,300,0
2,11,4,20,2,10,1,15,300,0
1,12,4,27,2,10,1,15,405,0
2,12,4,22,2,10,1,15,330,0
1,13,4,28,2,10,1,15,420,0
2,13,4,15,2,10,1,15,225,0
1,14,4,30,2,10,1,15,450,0
2,14,4,18,2,10,1,15,270,0
1,15,4,26,2,10,1,15,390,0
2,15,4,16,2,10,1,15,240,0
1,10,5,19,2,10,1,15,285,0
2,10,5,18,2,10,1,15,270,0
1,11,5,24,2,10,1,15,360,0
2,11,5,15,2,10,1,15,225,0
1,12,5,25,2,10,1,15,375,0
2,12,5,18,2,10,1,15,270,0
1,13,5,19,2,10,1,15,285,0
2,13,5,21,2,10,1,15,315,0
1,14,5,15,2,10,1,15,225,0
2,14,5,27,2,10,1,15,405,0
1,15,5,18,2,10,1,15,270,0
2,15,5,29,2,10,1,15,435,0
1,10,6,12,2,10,1,15,180,0
2,10,6,15,2,10,1,15,225,0
1,11,6,13,2,10,1,15,195,0
2,11,6,14,2,10,1,15,210,0
1,12,6,18,2,10,1,15,270,0
2,12,6,12,2,10,1,15,180,0
1,13,6,11,2,10,1,15,165,0
2,13,6,18,2,10,1,15,270,0
1,14,6,15,2,10,1,15,225,0
2,14,6,12,2,10,1,15,180,0
1,15,6,8,2,10,1,15,120,0
2,15,6,18,2,10,1,15,270,0
1,10,7,10,2,10,1,15,150,0
2,10,7,6,2,10,1,15,90,0
1,11,7,12,2,10,1,15,180,0
2,11,7,7,2,10,1,15,105,0
1,12,7,8,2,10,1,15,120,0
2,12,7,8,2,10,1,15,120,0
1,13,7,11,2,10,1,15,165,0
2,13,7,6,2,10,1,15,90,0
1,14,7,8,2,10,1,15,120,0
2,14,7,6,2,10,1,15,90,0
1,15,7,11,2,10,1,15,165,0
2,15,7,7,2,10,1,15,105,0
1,10,8,13,2,10,1,15,195,0
2,10,8,8,2,10,1,15,120,0
1,11,8,11,2,10,1,15,165,0
2,11,8,5,2,10,1,15,75,0
1,12,8,10,2,10,1,15,150,0
2,12,8,9,2,10,1,15,135,0
1,13,8,8,2,10,1,15,120,0
2,13,8,0,2,10,1,15,0,0
1,14,8,7,2,10,1,15,105,0
2,14,8,12,2,10,1,15,180,0
1,15,8,12,2,10,1,15,180,0
2,15,8,6,2,10,1,15,90,0
1,10,9,13,2,10,1,15,195,0
2,10,9,6,2,10,1,15,90,0
1,11,9,14,2,10,1,15,210,0
2,11,9,7,2,10,1,15,105,0
1,12,9,11,2,10,1,15,165,0
2,12,9,9,2,10,1,15,135,0
1,13,9,9,2,10,1,15,135,0
2,13,9,4,2,10,1,15,60,0
1,14,9,8,2,10,1,15,120,0
2,14,9,9,2,10,1,15,135,0
1,15,9,12,2,10,1,15,180,0
2,15,9,11,2,10,1,15,165,0
1,10,10,7,2,10,1,15,105,0
2,10,10,7,2,10,1,15,105,0
1,11,10,9,2,10,1,15,135,0
2,11,10,10,2,10,1,15,150,0
1,12,10,11,2,10,1,15,165,0
2,12,10,10,2,10,1,15,150,0
1,13,10,8,2,10,1,15,120,0
2,13,10,15,2,10,1,15,225,0
1,14,10,10,2,10,1,15,150,0
2,14,10,7,2,10,1,15,105,0
1,15,10,10,2,10,1,15,150,0
2,15,10,12,2,10,1,15,180,0
1,10,11,12,2,10,1,15,180,0
2,10,11,10,2,10,1,15,150,0
1,11,11,9,2,10,1,15,135,0
2,11,11,12,2,10,1,15,180,0
1,12,11,16,2,10,1,15,240,0
2,12,11,7,2,10,1,15,105,0
1,13,11,8,2,10,1,15,120,0
2,13,11,7,2,10,1,15,105,0
1,14,11,10,2,10,1,15,150,0
2,14,11,9,2,10,1,15,135,0
1,15,11,11,2,10,1,15,165,0
2,15,11,8,2,10,1,15,120,0
1,10,12,13,2,10,1,15,195,1
2,10,12,8,2,10,1,15,120,0
1,11,12,9,2,10,1,15,135,0
2,11,12,16,2,10,1,15,240,0
1,12,12,11,2,10,1,15,165,0
2,12,12,10,2,10,1,15,150,0
1,13,12,10,2,10,1,15,150,0
2,13,12,11,2,10,1,15,165,0
1,14,12,7,2,10,1,15,105,0
2,14,12,12,2,10,1,15,180,0
1,15,12,9,2,10,1,15,135,0
2,15,12,10,2,10,1,15,150,0
1,10,13,13,2,10,1,15,195,0
2,10,13,4,2,10,1,15,60,0
1,11,13,8,2,10,1,15,120,0
2,11,13,10,2,10,1,15,150,0
1,12,13,7,2,10,1,15,105,0
2,12,13,6,2,10,1,15,90,0
1,13,13,13,2,10,1,15,195,0
2,13,13,8,2,10,1,15,120,0
1,14,13,6,2,10,1,15,90,0
2,14,13,7,2,10,1,15,105,0
1,15,13,6,2,10,1,15,90,0
2,15,13,9,2,10,1,15,135,0
1,10,14,8,2,10,1,15,120,0
2,10,14,7,2,10,1,15,105,0
1,11,14,3,2,10,1,15,45,0
2,11,14,11,2,10,1,15,165,0
1,12,14,4,2,10,1,15,60,0
2,12,14,8,2,10,1,15,120,0
1,13,14,8,2,10,1,15,120,0
2,13,14,7,2,10,1,15,105,0
1,14,14,3,2,10,1,15,45,0
2,14,14,5,2,10,1,15,75,0
1,15,14,8,2,10,1,15,120,0
2,15,14,7,2,10,1,15,105,0
1,10,15,0,2,10,1,15,0,0
2,10,15,7,2,10,1,15,105,0
1,11,15,4,2,10,1,15,60,0
2,11,15,6,2,10,1,15,90,0
1,12,15,1,2,10,1,15,15,0
2,12,15,5,2,10,1,15,75,0
1,13,15,0,2,10,1,15,0,0
2,13,15,2,2,10,1,15,30,0
1,14,15,0,2,10,1,15,0,0
2,14,15,3,2,10,1,15,45,0
1,15,15,0,2,10,1,15,0,0
2,15,15,7,2,10,1,15,105,0
1,10,16,0,2,10,1,15,0,0
2,10,16,5,2,10,1,15,75,0
1,11,16,2,2,10,1,15,30,0
2,11,16,8,2,10,1,15,120,0
1,12,16,0,2,10,1,15,0,0
2,12,16,5,2,10,1,15,75,0
1,13,16,0,2,10,1,15,0,0
2,13,16,4,2,10,1,15,60,0
1,14,16,2,2,10,1,15,30,0
2,14,16,3,2,10,1,15,45,0
1,15,16,2,2,10,1,15,30,0
2,15,16,4,2,10,1,15,60,0
1,10,17,0,2,10,1,15,0,0
2,10,17,7,2,10,1,15,105,0
1,11,17,1,2,10,1,15,15,0
