sex.x,SampYear.x,lbin.x,n.x,sex.y,SampYear.y,lbin.y,n.y,ncomp,POP,SOPs
1,13,2,13,2,10,1,16,208,0,0
2,13,2,10,2,10,1,16,160,0,0
1,14,2,12,2,10,1,16,192,0,0
2,14,2,10,2,10,1,16,160,0,0
1,15,2,9,2,10,1,16,144,0,0
2,15,2,17,2,10,1,16,272,0,0
1,10,3,21,2,10,1,16,336,0,0
2,10,3,29,2,10,1,16,464,0,1
1,11,3,19,2,10,1,16,304,0,0
2,11,3,27,2,10,1,16,432,0,0
1,12,3,20,2,10,1,16,320,0,0
2,12,3,22,2,10,1,16,352,0,0
1,13,3,22,2,10,1,16,352,0,0
2,13,3,21,2,10,1,16,336,0,1
1,14,3,28,2,10,1,16,448,0,1
2,14,3,19,2,10,1,16,304,0,0
1,15,3,16,2,10,1,16,256,0,0
2,15,3,17,2,10,1,16,272,0,0
1,10,4,19,2,10,1,16,304,0,0
2,10,4,10,2,10,1,16,160,0,0
1,11,4,20,2,10,1,16,320,0,0
2,11,4,21,2,10,1,16,336,0,0
1,12,4,18,2,10,1,16,288,0,0
2,12,4,15,2,10,1,16,240,0,0
1,13,4,32,2,10,1,16,512,0,0
2,13,4,23,2,10,1,16,368,0,0
1,14,4,17,2,10,1,16,272,0,0
2,14,4,21,2,10,1,16,336,0,0
1,15,4,26,2,10,1,16,416,0,0
2,15,4,21,2,10,1,16,336,0,0
1,10,5,14,2,10,1,16,224,0,0
2,10,5,17,2,10,1,16,272,0,0
1,11,5,25,2,10,1,16,400,0,0
2,11,5,16,2,10,1,16,256,0,0
1,12,5,29,2,10,1,16,464,0,0
2,12,5,18,2,10,1,16,288,0,0
1,13,5,23,2,10,1,16,368,0,0
2,13,5,19,2,10,1,16,304,0,0
1,14,5,18,2,10,1,16,288,0,0
2,14,5,23,2,10,1,16,368,0,0
1,15,5,21,2,10,1,16,336,0,0
2,15,5,28,2,10,1,16,448,0,0
1,10,6,17,2,10,1,16,272,0,0
2,10,6,13,2,10,1,16,208,0,0
1,11,6,10,2,10,1,16,160,0,0
2,11,6,9,2,10,1,16,144,0,0
1,12,6,16,2,10,1,16,256,0,2
2,12,6,18,2,10,1,16,288,0,0
1,13,6,9,2,10,1,16,144,0,0
2,13,6,19,2,10,1,16,304,0,0
1,14,6,16,2,10,1,16,256,0,0
2,14,6,18,2,10,1,16,288,0,0
1,15,6,9,2,10,1,16,144,0,0
2,15,6,13,2,10,1,16,208,0,1
1,10,7,10,2,10,1,16,160,0,0
2,10,7,4,2,10,1,16,64,0,0
1,11,7,12,2,10,1,16,192,0,0
2,11,7,10,2,10,1,16,160,0,0
1,12,7,13,2,10,1,16,208,0,0
2,12,7,2,2,10,1,16,32,0,0
1,13,7,8,2,10,1,16,128,0,0
2,13,7,3,2,10,1,16,48,0,0
1,14,7,6,2,10,1,16,96,0,0
2,14,7,6,2,10,1,16,96,0,0
1,15,7,9,2,10,1,16,144,0,0
2,15,7,5,2,10,1,16,80,0,0
1,10,8,12,2,10,1,16,192,0,0
2,10,8,5,2,10,1,16,80,0,0
1,11,8,12,2,10,1,16,192,0,0
2,11,8,10,2,10,1,16,160,0,0
1,12,8,8,2,10,1,16,128,0,0
2,12,8,5,2,10,1,16,80,0,0
1,13,8,10,2,10,1,16,160,0,0
2,13,8,6,2,10,1,16,96,0,0
1,14,8,10,2,10,1,16,160,0,0
2,14,8,6,2,10,1,16,96,0,0
1,15,8,9,2,10,1,16,144,0,0
2,15,8,6,2,10,1,16,96,0,0
1,10,9,12,2,10,1,16,192,0,0
2,10,9,11,2,10,1,16,176,0,1
1,11,9,9,2,10,1,16,144,0,0
2,11,9,9,2,10,1,16,144,0,0
1,12,9,11,2,10,1,16,176,0,0
2,12,9,10,2,10,1,16,160,0,0
1,13,9,10,2,10,1,16,160,0,0
2,13,9,5,2,10,1,16,80,0,0
1,14,9,13,2,10,1,16,208,0,0
2,14,9,11,2,10,1,16,176,0,0
1,15,9,10,2,10,1,16,160,0,0
2,15,9,10,2,10,1,16,160,0,0
1,10,10,9,2,10,1,16,144,0,0
2,10,10,11,2,10,1,16,176,0,0
1,11,10,17,2,10,1,16,272,0,0
