AgeClass	sex	pred	sd
146	1	353.092498145692	0.133439315014371
147	1	354.852587415175	0.132221468760031
148	1	356.612676684658	0.131003622505691
149	1	358.37276595414	0.129785776251352
150	1	360.132855223623	0.128567929997012
151	1	361.892944493106	0.127350083742672
152	1	363.653033762589	0.126132237488332
153	1	365.413123032072	0.124914391233993
154	1	367.173212301554	0.123696544979653
155	1	368.933301571037	0.122478698725313
156	1	370.69339084052	0.121260852470973
157	1	372.453480110003	0.120043006216634
158	1	374.213569379485	0.118825159962294
159	1	375.973658648968	0.117607313707954
160	1	377.733747918451	0.116389467453614
161	1	379.493837187934	0.115171621199275
162	1	381.253926457417	0.113953774944935
163	1	383.014015726899	0.112735928690595
164	1	384.774104996383	0.111518082436255
165	1	386.534194265865	0.110300236181916
166	1	388.294283535348	0.109082389927576
